Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
     count   0.570654   0.000053   0.000003                 11000.txt
      save   0.000047   0.000000   0.000000                 11000.txt
     count   0.686409   0.000064   0.000005                 12000.txt
      save   0.000033   0.000000   0.000000                 12000.txt
     count   0.803217   0.000075   0.000006                 13000.txt
      save   0.000059   0.000000   0.000000                 13000.txt
     count   0.920192   0.000090   0.000002                 14000.txt
      save   0.000119   0.000000   0.000000                 14000.txt
     count   1.055385   0.000101   0.000004                 15000.txt
      save   0.000112   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -O0
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000026   0.000000   0.000000               20 elements
     count   0.466252   0.000045   0.000001                 10000.txt
      save   0.000020   0.000000   0.000000                 10000.txt
     count   0.558808   0.000054   0.000001                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.668403   0.000064   0.000003                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.785375   0.000076   0.000003                 13000.txt
      save   0.000018   0.000000   0.000000                 13000.txt
     count   0.911032   0.000088   0.000003                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   1.045842   0.000099   0.000005                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.467160   0.000045   0.000002                 10000.txt
      save   0.000119   0.000000   0.000000                 10000.txt
     count   0.569873   0.000054   0.000003                 11000.txt
      save   0.000073   0.000000   0.000000                 11000.txt
     count   0.677174   0.000065   0.000003                 12000.txt
      save   0.000119   0.000000   0.000000                 12000.txt
     count   0.793754   0.000075   0.000005                 13000.txt
      save   0.000113   0.000000   0.000000                 13000.txt
     count   0.920314   0.000087   0.000004                 14000.txt
      save   0.000023   0.000000   0.000000                 14000.txt
     count   1.049671   0.000101   0.000005                 15000.txt
      save   0.000066   0.000000   0.000000                 15000.txt
Testing for version ./zad2_dynamic and option -O0
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000023   0.000000   0.000000               20 elements
     count   0.463782   0.000044   0.000001                 10000.txt
      save   0.000020   0.000000   0.000000                 10000.txt
     count   0.553987   0.000053   0.000003                 11000.txt
      save   0.000027   0.000000   0.000000                 11000.txt
     count   0.659917   0.000062   0.000003                 12000.txt
      save   0.000018   0.000000   0.000000                 12000.txt
     count   0.772840   0.000076   0.000002                 13000.txt
      save   0.000018   0.000000   0.000000                 13000.txt
     count   0.896832   0.000087   0.000003                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   1.029851   0.000099   0.000003                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000001   0.000000   0.000000                   index 4
     count   0.460366   0.000045   0.000002                 10000.txt
      save   0.000060   0.000000   0.000000                 10000.txt
     count   0.561815   0.000053   0.000003                 11000.txt
      save   0.000024   0.000000   0.000000                 11000.txt
     count   0.661709   0.000064   0.000002                 12000.txt
      save   0.000048   0.000000   0.000000                 12000.txt
     count   0.796450   0.000076   0.000004                 13000.txt
      save   0.000122   0.000000   0.000000                 13000.txt
     count   0.922002   0.000090   0.000002                 14000.txt
      save   0.000060   0.000000   0.000000                 14000.txt
     count   1.038529   0.000099   0.000005                 15000.txt
      save   0.000118   0.000000   0.000000                 15000.txt
Testing for version ./zad2_static and option -Os
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000026   0.000000   0.000000               20 elements
     count   0.309552   0.000027   0.000003                 10000.txt
      save   0.000017   0.000000   0.000000                 10000.txt
     count   0.367556   0.000035   0.000002                 11000.txt
      save   0.000025   0.000000   0.000000                 11000.txt
     count   0.437178   0.000042   0.000001                 12000.txt
      save   0.000016   0.000000   0.000000                 12000.txt
     count   0.513472   0.000050   0.000002                 13000.txt
      save   0.000020   0.000000   0.000000                 13000.txt
     count   0.595625   0.000054   0.000006                 14000.txt
      save   0.000028   0.000000   0.000000                 14000.txt
     count   0.683684   0.000064   0.000004                 15000.txt
      save   0.000018   0.000000   0.000000                 15000.txt
    remove   0.000005   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000002   0.000000   0.000000                   index 4
     count   0.306432   0.000029   0.000002                 10000.txt
      save   0.000061   0.000000   0.000000                 10000.txt
     count   0.376670   0.000035   0.000002                 11000.txt
      save   0.000022   0.000000   0.000000                 11000.txt
     count   0.440638   0.000042   0.000002                 12000.txt
      save   0.000127   0.000000   0.000000                 12000.txt
     count   0.517728   0.000049   0.000003                 13000.txt
      save   0.000023   0.000000   0.000000                 13000.txt
     count   0.598095   0.000056   0.000004                 14000.txt
      save   0.000049   0.000000   0.000000                 14000.txt
     count   0.704612   0.000065   0.000006                 15000.txt
